date,exercise,weight_kg,reps,sets,rpe,notes
2025-05-01,Bench Press,70,10,3,7,Felt solid
2025-05-01,Squat,100,10,3,8,Felt strong but tiring
2025-05-03,Deadlift,90,8,3,8,Grip slipping slightly

2025-05-06,Bench Press,72.5,10,3,7,Progressing well
2025-05-06,Squat,105,10,3,8,Steady form
2025-05-08,Deadlift,95,8,3,8,Back tightness on last set

2025-05-10,Bench Press,75,8,3,8,Harder on final reps
2025-05-10,Squat,110,8,3,8,Felt challenging but manageable
2025-05-13,Deadlift,100,8,3,9,Fatigued from previous session

2025-05-15,Bench Press,77.5,8,3,8,Good bar speed
2025-05-15,Squat,115,6,3,9,Struggled on final reps
2025-05-17,Deadlift,102.5,6,3,9,Fatigue showing

2025-05-20,Bench Press,77.5,10,3,7,Improved from last week
2025-05-20,Squat,115,8,3,8,Better bracing
2025-05-22,Deadlift,105,6,3,8,More stable pulls

2025-05-24,Bench Press,80,8,3,8,Minor shoulder tightness
2025-05-24,Squat,120,6,3,9,Back started to round
2025-05-27,Deadlift,107.5,6,3,9,Last set very slow

2025-05-29,Bench Press,80,10,3,7,Strong session
2025-05-29,Squat,120,8,3,8,Good depth and control
2025-05-31,Deadlift,110,6,3,8,Recovered well
